1233|weapon.Trailblazer_v1.name|Trailblazer
1195|weapon.Trailblazer_v1.desc|Fashioned with the aesthetic of a 20th century revolver, the Trailblazer shoots arcing 'Shocker' bullets which damage secondary targets with millions of volts.
1697|weapon.CM401PlanetStormer_v1.name|CM 401 Planet Stormer
1741|weapon.CM401PlanetStormer_v1.desc|One of the finest assault rifles available anywhere. The Planet Stormer is accurate, fast and incredibly versatile.
1723|weapon.RIAT7_v1.name|RIA T7
1779|weapon.RIAT7_v1.desc|Thermal SMG. The T7 shoots white hot thermal rounds designed to cause maximum trauma to soft targets
1765|weapon.RIA313_v1.name|RIA 313
1732|weapon.RIA313_v1.desc|Reliable, accurate. Special Forces standard sidearm.
1696|weapon.Ronson65-a_v1.name|Ronson 65-a
1694|weapon.Ronson65-a_v1.desc|Most soldiers know Ronson for the 65-a assault rifle. Perfectly balanced stock and narrow bore combine to create a very easy to use and accurate weapon. 
1729|weapon.CM307_v1.name|CM 307
1780|weapon.CM307_v1.desc|The 307 is a big brother to most SMGs in every way. Rapid fire high calibre requires some skill to use. Many have compared its handling to the 20th century Thompson SMG.
1711|weapon.Sub-lightCOM2_v1.name|Sub-light COM2
1734|weapon.Sub-lightCOM2_v1.desc|Sublight COM2 rifle rounds travel the last metre or so at very high speed through “Centre Of Mass Displacement” technology. Recorded speeds of the 127mm COM2 rounds are close to 100,000 metres per second. Enough to leave a big hole in just about anything.
1722|weapon.Stripper_v1.name|Stripper
1713|weapon.Stripper_v1.desc|The MAR-9 shotgun round delivers 3 destructive pellets to targets with often horrifying results.
1761|weapon.RIA20Para_v1.name|RIA 20 Para
1745|weapon.RIA20Para_v1.desc|Designed as a slightly smaller assault weapon for speed and mobility, the Para still packs the stopping power of a full sized assault rifle.
1211|weapon.CMGigavolt_v1.name|CM Gigavolt
1227|weapon.CMGigavolt_v1.desc|Uses 'shocker' technology to charge up regular MEP rounds to unleash arcs of electrical current on impact. Tens of millions of volts will arc to nearby targets for every shot fired.
1781|weapon.PoisonClaw_v1.name|Poison Claw
1717|weapon.PoisonClaw_v1.desc|On impact, Rancor's MAR-3 Molecular acid round activates and starts to react furiously and relentlessly with the area around it, causing horrific and irreversible damage to most substances.
1695|weapon.HVM002_v1.name|HVM 002
1770|weapon.HVM002_v1.desc|Infiltration forces and personal security details often use this unremarkable but highly effective submachine gun.
1715|weapon.RonsonWPFlamethrower_v1.name|Ronson WP Flamethrower
1768|weapon.RonsonWPFlamethrower_v1.desc|Molecular thermite and white phosphorus make a terrifying combination hot enough to incinerate any soft target. The tar-like residue continues to combust aggressively after the initial burst.
1705|weapon.Ronson55_v1.name|Ronson 55
1756|weapon.Ronson55_v1.desc|Twin recoilless alternating barrels allow for accuracy and an extremely high rate of fire. One of the most innovative and deadly submachine guns available anywhere.
1774|weapon.CM505_v1.name|CM 505
1751|weapon.CM505_v1.desc|CM 505 delivers a punishing rate of fire with incredible stopping power. A massive belt of rounds keeps it shooting harder, for longer.
1712|weapon.CM205_v1.name|CM 205
1738|weapon.CM205_v1.desc|Full auto. Versatility of a pistol but firepower of an SMG. The 205 is a top-shelf sidearm.
1698|weapon.HVM001_v1.name|HVM 001
1728|weapon.HVM001_v1.desc|Standard issue combat forces sidearm. Reliable and functional.
1746|weapon.CM202_v1.name|CM 202
1762|weapon.CM202_v1.desc|The 202 is a high powered sidearm. Despite high calibre, clip size is still excellent.
1771|weapon.CM351Sunflare_v1.name|CM 351 Sunflare
1766|weapon.CM351Sunflare_v1.desc|Fusion power cell generates bolts of high energy plasma. Not as deadly as the 307 but more accurate and much higher capacity.
1710|weapon.RonsonLBM_v1.name|Ronson LBM
1724|weapon.RonsonLBM_v1.desc|Ronson Large Bore Machine Gun. Uses heavy clip instead of belt to accomodate extra large rounds, the LBM can devastate most targets with ease.
1708|weapon.Mixmaster_v1.name|Mixmaster
1777|weapon.Mixmaster_v1.desc|A dangerous and terrifying weapon. Mixmaster generates a twin-stream of high energy plasma bolts. This weapon makes anyone who can pull a trigger into a killing machine.
1701|weapon.HardThorn_v1.name|Hard Thorn
1743|weapon.HardThorn_v1.desc|Each round of the fully automatic Hard Thorn contains 6 razor flechettes, each as deadly as a pistol round. Designed to shred and cause mass hemorrhaging to soft targets. 
1755|weapon.RIA30Strikeforce_v1.name|RIA 30 Strikeforce
1702|weapon.RIA30Strikeforce_v1.desc|The Strikeforce is a thermal shotgun with a wide spread of 8 projectiles for dealing maximum devastation over short ranges.
1764|weapon.RIA7_v1.name|RIA 7
1769|weapon.RIA7_v1.desc|Powerful submachine gun suited for confined spaces. Large clip allows for long bursts. 
1758|weapon.HVM005G-Class_v1.name|HVM 005 G-Class
